OTU_ID	X6	Z10	Q8	Z2	X8	R1	P3	Q9	Z3	B20.8	R9	Q5	X5	Q7	F20.7	R2	Q4	R8	Z4	A14.4	Q2	B6.6	Z8	EG7.2	G7.1	Z9	A15	Q6	B13.11	A17.12	X10	P2	E6.5	Q3	X9	X4	Z6	E5.9	X1	Z7	R4	A9	P4	X3	X2	R10	P1	X7	A11	Z5	Z1	E14.3	R3	E22	R5	R7	Q1	R6	A5.10
Zotu1	1514	1163	607	96	174	4045	2060	111	674	4050	718	459	1962	59	1800	9230	171	2280	1180	2115	946	1774	973	5825	1120	1273	713	458	4699	4134	229	2861	573	151	252	1527	655	1057	575	352	4467	2391	327	193	1063	997	141	54	2470	1182	61	13	3436	172	4308	449	579	616	1852
Zotu10	45	0	10	1	1827	1565	529	43	114	364	140	1147	12	746	45	280	221	1045	286	131	493	2739	75	2	3216	116	441	350	64	497	52	532	1160	72	237	5	8	133	32	6	122	925	467	16	149	106	1275	1	1294	54	498	920	38	190	75	625	399	397	2385
Zotu100	37	0	1	0	233	10	115	3	41	2	22	0	6	228	2	7	0	62	9	104	108	206	71	0	7	2	444	12	44	112	78	67	237	23	92	1	4	0	6	3	0	72	37	0	0	10	987	0	2	0	154	17	0	45	0	225	13	375	231
Zotu1001	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
Zotu1003	1	33	0	3	2	0	0	0	0	0	0	0	1	0	0	0	2	63	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	4	0	24	2	0	0	0	0	0	0	0	0
Zotu1004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	17	0	0	0	7	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	13	0
Zotu1005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1007	0	0	0	0	0	0	0	15	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	2	0	0	0	0	0	156	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	23	0	9	0	0	13
